Source,Destination,Distance
New Jeffreyborough,Rodriguezville,94
New Jeffreyborough,South Donnahaven,19
New April,Rodriguezville,99
Cherylfurt,South Donnahaven,68
New Wandachester,South Donnahaven,64
New Jeffreyborough,West Kimberly,38
Ayersmouth,Cherylfurt,103
New April,New Wandachester,146
New Wandachester,West Kimberly,24
Ayersmouth,New April,81
Ayersmouth,Rodriguezville,60
Brianfort,New Wandachester,62
New Jeffreyborough,New Wandachester,80
Cherylfurt,New April,29
Ayersmouth,South Donnahaven,50
Ayersmouth,New Wandachester,28
Cherylfurt,New Jeffreyborough,103
Brianfort,South Donnahaven,56
Ayersmouth,Brianfort,23
New Catherine,New Wandachester,71
New Catherine,Rodriguezville,90
Rodriguezville,South Donnahaven,90
New April,West Kimberly,66
Brianfort,New April,53
New April,New Catherine,147
Brianfort,West Kimberly,69
Brianfort,Cherylfurt,26
